Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Quadratic Discriminant Analysis,0.5752,0.6021,0.5321,0.5578,0.5446,0.147,0.1472,0.003
Decision Tree Classifier,0.5328,0.5179,0.5773,0.5093,0.5411,0.069,0.0697,0.008
Extra Trees Classifier,0.5524,0.5659,0.5338,0.5315,0.5325,0.1033,0.1033,0.046
Naive Bayes,0.574,0.5973,0.5068,0.5593,0.5317,0.1427,0.1433,0.06
Ridge Classifier,0.5779,0.6003,0.4921,0.5665,0.5266,0.1491,0.1504,0.004
Linear Discriminant Analysis,0.5775,0.6004,0.4919,0.5661,0.5263,0.1484,0.1497,0.003
Random Forest Classifier,0.5532,0.574,0.5192,0.5331,0.5259,0.1036,0.1037,0.059
Logistic Regression,0.5772,0.6,0.4878,0.5662,0.524,0.1475,0.1488,0.101
Light Gradient Boosting Machine,0.5756,0.59,0.4829,0.5649,0.5206,0.144,0.1455,0.486
K Neighbors Classifier,0.5421,0.5496,0.5002,0.5214,0.5103,0.0808,0.0809,0.067
Gradient Boosting Classifier,0.5847,0.5986,0.3903,0.5998,0.4727,0.1549,0.1647,0.046
Ada Boost Classifier,0.5927,0.6041,0.3794,0.6198,0.4705,0.1698,0.1834,0.017
SVM - Linear Kernel,0.5225,0.586,0.5238,0.4301,0.4081,0.0446,0.0592,0.011
Dummy Classifier,0.5227,0.5,0.0,0.0,0.0,0.0,0.0,0.003
